Customer,How satisfied were you with your overall delivery experience at Ali?                    1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the quality of the food at Alis?                             1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,How satisfied were you with the speed of delivery at Alis?                                1-5 where 1 = extremely dissatisfied and 5 = extremely satisfied,Was your order accurate? Please respond NO or no.
205,2,2,2,NO
206,5,5,5,NO
207,1,1,1,NO
208,3,3,3,No
209,5,5,5,NO
210,3,3,3,No
211,5,5,5,NO
212,2,2,2,NO
213,4,4,4,No
214,3,3,3,NO
215,1,1,1,NO
216,5,5,5,NO
217,2,2,2,NO
218,4,4,4,No
219,5,5,5,NO
220,2,2,2,NO
221,5,5,5,NO
222,3,3,3,No
223,1,1,1,NO
224,5,5,5,NO
225,3,3,3,NO
226,2,2,2,NO
227,2,2,2,No
228,4,4,4,NO
229,4,4,4,NO
230,3,3,3,NO
231,5,5,5,NO
232,3,3,3,No
233,1,1,1,NO
234,5,5,5,NO
235,5,5,5,NO
236,2,2,2,NO
237,1,1,1,NO
238,5,5,5,NO
239,2,2,2,No
240,3,3,3,NO
241,5,5,5,NO
242,3,3,3,NO
243,4,4,4,NO
244,5,5,5,NO
245,2,2,2,NO
246,5,5,5,NO
247,1,1,1,NO
248,3,3,3,No
249,5,5,5,NO
250,3,3,3,No
251,5,5,5,NO
252,2,2,2,NO
253,4,4,4,No
254,3,3,3,NO
255,1,1,1,NO
256,5,5,5,NO
257,2,2,2,NO
258,4,4,4,No
259,5,5,5,NO
260,2,2,2,NO
261,5,5,5,NO
262,3,3,3,No
263,1,1,1,NO
264,5,5,5,NO
265,3,3,3,NO
266,2,2,2,NO
267,2,2,2,No
268,4,4,4,NO
269,4,4,4,NO
270,3,3,3,NO
271,5,5,5,NO
272,3,3,3,No
273,1,1,1,NO
274,5,5,5,NO
275,5,5,5,NO
276,2,2,2,NO
277,1,1,1,NO
278,5,5,5,NO
279,2,2,2,No
280,3,3,3,NO
281,5,5,5,NO
282,3,3,3,NO
283,4,4,4,NO
284,5,5,5,NO
285,2,2,2,NO
286,5,5,5,NO
287,1,1,1,NO
288,3,3,3,No
289,5,5,5,NO
290,3,3,3,No
291,5,5,5,NO
292,2,2,2,NO
293,4,4,4,No
294,3,3,3,NO
295,1,1,1,NO
296,5,5,5,NO
297,2,2,2,NO
298,4,4,4,No
299,5,5,5,NO
300,2,2,2,NO
301,5,5,5,NO
302,3,3,3,No
303,1,1,1,NO
304,5,5,5,NO
305,3,3,3,NO
306,2,2,2,NO
307,2,2,2,No
308,4,4,4,NO
309,4,4,4,NO
310,3,3,3,NO
311,5,5,5,NO
312,3,3,3,No
313,1,1,1,NO
314,5,5,5,NO
315,5,5,5,NO
316,2,2,2,NO
317,1,1,1,NO
318,5,5,5,NO
319,2,2,2,No
320,3,3,3,NO
321,,5,5,NO
322,,3,3,NO
323,,4,4,NO
324,,5,5,NO
325,,2,2,NO
326,,5,5,NO
327,,1,1,NO
328,,3,3,No
329,,5,5,NO
330,,3,3,No
331,,5,5,NO
332,,2,2,NO
333,,4,4,No
334,,3,3,NO
335,,1,1,NO
336,,5,5,NO
337,,2,2,NO
338,,4,4,No
339,,5,5,NO
340,,2,2,NO
341,,5,5,NO
342,,3,3,No
343,,1,1,NO
344,5,5,5,NO
345,3,3,3,NO
346,4,2,2,NO
347,5,2,2,No
348,2,4,4,NO
349,5,4,4,NO
350,1,3,3,NO
351,3,5,5,NO
352,5,3,3,No
353,3,1,1,NO
354,5,5,5,NO
355,2,5,5,NO
356,4,2,2,NO
357,3,1,1,NO
358,1,5,5,NO
359,5,2,2,No
360,2,3,3,NO
361,4,,,NO
362,5,5,5,NO
363,2,3,3,NO
364,5,4,4,NO
365,3,5,5,NO
366,1,2,2,NO
367,5,5,5,NO
368,3,1,1,No
369,2,3,3,NO
370,2,5,5,No
371,4,3,3,NO
372,4,5,5,NO
373,3,2,2,No
374,5,4,4,NO
375,3,3,3,NO
376,1,1,1,NO
377,5,5,5,NO
378,5,2,2,No
379,2,4,4,NO
380,1,5,5,NO
381,5,2,2,NO
382,2,5,5,No
383,3,3,3,NO
384,5,1,1,NO
385,3,5,5,NO
386,4,3,3,NO
387,5,2,2,No
388,2,2,2,NO
389,5,4,4,NO
390,1,4,4,NO
391,3,3,3,NO
392,5,5,5,No
393,3,3,3,NO
394,5,1,1,NO
395,2,5,5,NO
396,4,5,5,NO
397,3,2,2,NO
398,1,1,1,NO
399,5,5,5,No
400,2,2,2,NO
401,4,3,3,NO
402,5,5,5,NO
403,2,3,3,NO
404,5,4,4,NO
405,3,5,5,NO
406,1,2,2,NO
407,5,5,5,NO
408,3,1,1,No
409,2,3,3,NO
410,2,5,5,No
411,4,3,3,NO
412,4,5,5,NO
413,3,2,2,No
414,5,4,4,NO
415,3,3,3,NO
416,1,1,1,NO
417,5,5,5,NO
418,5,2,2,No
419,2,4,4,NO
420,1,5,5,NO
421,5,2,2,NO
422,2,5,5,No
423,3,3,3,NO
424,5,1,1,NO
425,3,5,5,NO
426,4,3,3,NO
427,5,2,2,No
428,2,2,2,NO
429,5,4,4,NO
430,1,4,4,NO
431,3,3,3,NO
432,5,5,5,No
433,3,3,3,NO
434,5,1,1,NO
435,2,5,5,NO
436,4,5,5,NO
437,3,2,2,NO
438,1,1,1,NO
439,5,5,5,No
440,2,2,2,NO
441,4,3,3,NO
442,5,5,5,NO
443,2,3,3,NO
444,5,4,4,NO
445,3,5,5,NO
446,1,2,2,NO
447,5,5,5,NO
448,3,1,1,No
449,2,3,3,NO
450,2,5,5,No
451,4,3,3,NO
452,4,5,5,NO
453,3,2,2,No
454,5,4,4,NO
455,3,3,3,NO
456,1,1,1,NO
457,5,5,5,NO
458,5,2,2,No
459,2,4,4,NO
460,1,5,5,NO
461,5,2,2,NO
462,2,5,5,No
463,3,3,3,NO
464,5,1,1,NO
465,3,5,5,NO
466,4,3,3,NO
467,5,2,2,No
468,2,2,2,NO
469,5,4,4,NO
470,1,4,4,NO
471,3,3,3,NO
472,5,5,5,No
473,3,3,3,NO
474,5,1,1,NO
475,2,5,5,NO
476,4,5,5,NO
477,3,2,2,NO
478,1,1,1,NO
479,5,5,5,No
480,2,2,2,NO
481,4,3,3,NO
482,5,5,5,NO
483,2,3,3,NO
484,5,4,4,NO
485,3,5,5,NO
486,1,2,2,NO
487,5,5,5,NO
488,3,1,1,No
489,2,3,3,NO
490,2,5,5,No
491,4,3,3,NO
492,4,5,5,NO
493,3,2,2,No
494,5,4,4,NO
495,3,3,3,NO
496,1,1,1,NO
497,5,5,5,NO
498,5,2,2,No
499,2,4,4,NO
500,1,5,5,NO
501,5,2,2,NO
502,2,5,5,No
503,3,3,3,NO
504,,1,1,NO
505,5,5,5,NO
506,3,3,3,NO
507,4,2,2,No
508,5,2,2,NO
509,2,4,4,NO
510,5,4,4,NO
511,1,3,3,NO
512,3,5,5,No
513,5,3,3,NO
514,3,1,1,NO
515,5,5,5,NO
516,2,5,5,NO
517,4,2,2,NO
518,3,1,1,NO
519,1,5,5,No
520,5,2,2,NO
521,2,3,3,NO
522,4,,,NO
523,5,,,NO
524,2,,,NO
525,5,,,NO
526,3,,,NO
527,1,,,NO
528,5,,,No
529,3,,,NO
530,2,,,No
531,2,,,NO
532,4,,,NO
533,4,,,No
534,3,,5,NO
535,5,,3,NO
536,3,5,4,NO
537,1,3,5,NO
538,5,4,2,No
539,5,5,5,NO
540,2,2,1,NO
541,1,5,3,NO
542,5,1,5,No
543,2,3,3,NO
544,3,5,5,NO
545,5,3,2,NO
546,3,5,4,NO
547,4,2,3,No
548,5,4,1,NO
549,2,3,5,NO
550,5,1,2,NO
551,1,5,4,NO
552,3,2,5,No
553,5,4,2,NO
554,3,5,5,NO
555,5,2,3,NO
556,2,5,1,NO
557,4,3,5,NO
558,3,1,3,NO
559,1,5,2,No
560,5,3,2,NO
561,2,2,4,NO
562,4,2,4,NO
563,5,4,3,NO
564,2,4,5,NO
565,5,3,3,NO
566,3,5,1,NO
567,1,3,5,NO
568,5,1,5,No
569,3,5,2,NO
570,2,5,1,No
571,2,2,5,NO
572,4,1,2,NO
573,4,5,3,No
574,3,2,5,NO
575,5,3,3,NO
576,3,5,4,NO
577,1,3,5,NO
578,5,4,2,No
579,5,5,5,NO
580,2,2,1,NO
581,1,5,3,NO
582,5,1,5,No
583,2,3,3,NO
584,3,5,5,NO
585,5,3,2,NO
586,3,5,4,NO
587,4,2,3,No
588,5,4,1,NO
589,2,3,5,NO
590,5,1,2,NO
591,1,5,4,NO
592,3,2,5,No
593,5,4,2,NO
594,3,5,5,NO
595,5,2,3,NO
596,2,5,1,NO
597,4,3,5,NO
598,3,1,3,NO
599,1,5,2,No
600,5,3,2,NO
601,2,2,4,NO
602,4,2,4,NO
603,5,4,3,NO
604,2,4,5,NO
605,5,3,3,NO
606,3,5,1,NO
607,1,3,5,NO
608,5,1,5,No
609,3,5,2,NO
610,2,5,1,No
611,2,2,5,NO
612,4,1,2,NO
613,4,5,3,No
614,3,2,5,NO
615,5,3,3,NO
616,3,5,4,NO
617,1,3,5,NO
618,5,4,2,No
619,5,5,5,NO
620,2,2,1,NO
621,1,5,3,NO
622,5,1,5,No
623,2,3,3,NO
624,3,5,5,NO
625,5,3,2,NO
626,3,5,4,NO
627,4,2,3,No
628,5,4,1,NO
629,2,3,5,NO
630,5,1,2,NO
631,1,5,4,NO
632,3,2,5,No
633,5,4,2,NO
634,3,5,5,NO
635,5,2,3,NO
636,2,5,1,NO
637,4,3,5,NO
638,3,1,3,NO
639,1,5,2,No
640,5,3,2,NO
641,2,2,4,NO
642,4,2,4,NO
643,5,4,3,NO
644,2,4,5,NO
645,5,3,3,NO
646,3,5,1,NO
647,1,3,5,NO
648,5,1,5,No
649,3,5,2,NO
650,2,5,1,No
651,2,2,5,NO
652,4,1,2,NO
653,4,5,3,No
654,3,2,5,NO
655,5,3,3,NO
656,3,5,4,NO
657,1,3,5,NO
658,5,4,2,No
659,5,5,5,NO
660,2,2,1,NO
661,1,5,3,NO
662,5,1,5,No
663,2,3,3,NO
664,3,5,5,NO
665,,3,2,NO
666,5,5,4,NO
667,3,2,3,No
668,4,4,1,NO
669,5,3,5,NO
670,2,1,2,NO
671,5,5,4,NO
672,1,2,5,No
673,3,4,2,NO
674,5,5,5,NO
675,3,2,3,NO
676,5,5,1,NO
677,2,3,5,NO
678,4,1,3,NO
679,3,5,2,No
680,1,3,2,NO
681,5,2,4,NO
682,2,2,4,NO
683,4,4,3,NO
684,5,4,5,NO
685,2,3,3,NO
686,5,5,1,NO
687,3,3,5,NO
688,1,1,5,No
689,5,5,2,NO
690,3,5,1,No
691,2,2,5,NO
692,2,1,2,NO
693,4,5,3,No
694,4,2,,NO
695,3,3,,NO
696,5,,,NO
697,3,,,NO
698,1,,,No
699,5,,,NO
700,5,3,4,NO
701,3,4,3,NO
702,4,5,2,No
703,5,3,4,NO
704,2,5,1,NO
705,5,2,5,NO
706,1,4,3,NO
707,3,3,2,No
708,5,1,3,NO
709,3,5,3,NO
710,5,3,4,NO
711,2,2,5,NO
712,4,5,3,No
713,3,4,2,NO
714,1,5,1,NO
715,5,4,5,NO
716,2,2,4,NO
717,4,5,4,NO
718,5,1,5,NO
719,2,4,4,No
720,5,5,1,NO
721,3,3,3,NO
722,1,5,5,NO
723,5,4,4,NO
724,3,3,2,NO
725,2,3,4,NO
726,2,2,3,NO
727,4,5,4,NO
728,4,1,2,No
729,3,4,5,NO
730,5,5,4,No
731,3,3,4,NO
732,1,2,5,NO
733,5,5,1,No
734,5,1,2,NO
735,2,3,3,NO
736,1,5,4,NO
737,5,4,3,NO
738,2,2,4,No
739,3,3,2,NO
740,5,5,5,NO
741,3,3,3,NO
742,4,4,4,No
743,5,5,5,NO
744,2,2,2,NO
745,5,5,5,NO
746,1,1,1,NO
747,3,3,3,No
748,5,5,5,NO
749,3,3,3,NO
750,5,5,5,NO
751,2,2,2,NO
752,4,4,4,No
753,3,3,3,NO
754,1,1,1,NO
755,5,5,5,NO
756,2,2,2,NO
757,4,4,4,NO
758,5,5,5,NO
759,2,2,2,No
760,5,5,5,NO
761,3,3,3,NO
762,1,1,1,NO
763,5,5,5,NO
764,3,3,3,NO
765,2,2,2,NO
766,2,2,2,NO
767,4,4,4,NO
768,4,4,4,No
769,3,3,3,NO
770,5,5,5,No
771,3,3,3,NO
772,1,1,1,NO
773,5,5,5,No
774,5,5,5,NO
775,2,2,2,NO
776,1,1,1,NO
777,5,5,5,NO
778,2,2,2,No
779,3,3,3,NO
780,5,5,5,NO
781,3,3,3,NO
782,4,4,4,No
783,5,5,5,NO
784,2,2,2,NO
785,5,5,5,NO
786,1,1,1,NO
787,3,3,3,No
788,5,5,5,NO
789,3,3,3,NO
790,5,5,5,NO
791,2,2,2,NO
792,4,4,4,No
793,3,3,3,NO
794,1,1,1,NO
795,5,5,5,NO
796,2,2,2,NO
797,4,4,4,NO
798,5,5,5,NO
799,2,2,2,No
800,5,5,5,NO
801,3,3,3,NO
802,1,1,1,NO
803,5,5,5,NO
804,3,3,3,NO
805,2,2,2,NO
806,2,2,2,NO
807,4,4,4,NO
808,4,4,4,No
809,3,3,3,NO
810,5,5,5,No
811,3,3,3,NO
812,1,1,1,NO
813,5,5,5,No
814,5,5,5,NO
815,2,2,2,NO
816,1,1,1,NO
817,5,5,5,NO
818,2,2,2,No
819,3,3,3,NO
820,5,5,5,NO
821,3,3,3,NO
822,4,4,4,No
823,5,5,5,NO
824,2,2,2,NO
825,5,5,5,NO
826,1,1,1,NO
827,3,3,3,No
828,5,5,5,NO
829,3,3,3,NO
830,5,5,5,NO
831,2,2,2,NO
832,4,4,4,No
833,3,3,3,NO
834,1,1,1,NO
835,5,5,5,NO
836,2,2,2,NO
837,4,4,4,NO
838,5,5,5,NO
839,2,2,2,No
840,5,5,5,NO
841,3,3,3,NO
842,1,1,1,NO
843,5,5,5,NO
844,3,3,3,NO
845,2,2,2,NO
846,2,2,2,NO
847,4,4,4,NO
848,4,4,4,No
849,3,3,3,NO
850,5,5,5,No
851,3,3,3,NO
852,1,1,1,NO
853,5,5,5,No
854,5,5,5,NO
855,2,2,2,NO
856,1,1,1,NO
857,5,5,5,NO
858,2,2,2,No
859,3,3,3,NO
860,5,5,5,NO
861,3,3,3,NO
862,4,4,4,No
863,5,5,5,NO
864,2,2,2,NO
865,5,5,5,NO
866,1,1,1,NO
867,3,3,3,No
868,5,5,5,NO
869,3,3,3,NO
870,5,5,5,NO
871,2,2,2,NO
872,4,4,4,No
873,3,3,3,NO
874,1,1,1,NO
875,5,5,5,NO
876,2,2,2,NO
877,4,4,4,NO
878,5,5,5,NO
879,2,2,2,No
880,5,5,5,NO
881,3,3,3,NO
882,1,1,1,NO
883,5,5,5,NO
884,3,3,3,NO
885,2,2,2,NO
886,2,2,2,NO
887,4,4,4,NO
888,4,4,4,No
889,3,3,3,NO
890,5,5,5,No
891,3,3,3,NO
892,1,1,1,NO
893,5,5,5,No
894,5,5,5,NO
895,2,2,2,NO
896,1,1,1,NO
897,5,5,5,NO
898,2,2,2,No
899,3,3,3,NO
900,5,5,5,NO
901,3,3,3,NO
902,4,4,4,No
903,5,5,5,NO
904,2,2,2,NO
905,5,5,5,NO
906,1,1,1,NO
907,3,3,3,No
908,5,5,5,NO
909,3,3,3,NO
910,5,5,5,NO
911,2,2,2,NO
912,4,4,4,No
913,3,3,3,NO
914,1,1,1,NO
915,5,5,5,NO
916,2,2,2,NO
917,4,4,4,NO
918,5,5,5,NO
919,2,2,2,No
920,5,5,5,NO
921,3,3,3,NO
922,1,1,1,NO
923,5,5,5,NO
924,3,3,3,NO
925,2,2,2,NO
926,2,2,2,NO
927,4,4,4,NO
928,4,4,4,No
929,3,3,3,NO
930,5,5,5,No
931,3,3,3,NO
932,1,1,1,NO
933,5,5,5,No
934,5,5,5,NO
935,2,2,2,NO
936,1,1,1,NO
937,5,5,5,NO
938,2,2,2,No
939,3,3,3,NO
940,5,5,5,NO
941,3,3,3,NO
942,4,4,4,No
943,5,5,5,NO
944,2,2,2,NO
945,5,5,5,NO
946,1,1,1,NO
947,3,3,3,No
948,5,5,5,NO
949,3,3,3,NO
950,5,5,5,NO
951,2,2,2,NO
952,4,4,4,No
953,3,3,3,NO
954,1,1,1,NO
955,5,5,5,NO
956,2,2,2,NO
957,4,4,4,NO
958,5,5,5,NO
959,2,2,2,No
960,5,5,5,NO
961,3,3,3,NO
962,1,1,1,NO
963,5,5,5,NO
964,3,3,3,NO
965,2,2,2,NO
966,2,2,2,NO
967,4,4,4,NO
968,4,4,4,No
969,3,3,3,NO
970,5,5,5,No
971,3,3,3,NO
972,1,1,1,NO
973,5,5,5,No
974,5,5,5,NO
975,2,2,2,NO
976,1,1,1,NO
977,5,5,5,NO
978,2,2,2,No
979,3,3,3,NO
980,5,5,5,NO
981,3,3,3,NO
982,4,4,4,No
983,5,5,5,NO
984,2,2,2,NO
985,5,5,5,NO
986,1,1,1,NO
987,3,3,3,No
988,5,5,5,NO
989,3,3,3,NO
990,5,5,5,NO
991,2,2,2,NO
992,4,4,4,No
993,3,3,3,NO
994,1,1,1,NO
995,5,5,5,NO
996,2,2,2,NO
997,4,4,4,NO
998,5,5,5,NO
999,2,2,2,No
1000,5,5,5,NO
1001,3,3,3,NO
1002,1,1,1,NO
1003,5,5,5,NO
1004,3,3,3,NO
1005,2,2,2,NO
1006,2,2,2,NO
1007,4,4,4,NO
1008,4,4,4,No
1009,3,3,3,NO
1010,5,5,5,No
1011,3,3,3,NO
1012,1,1,1,NO
1013,5,5,5,No
1014,5,5,5,NO
1015,2,2,2,NO
1016,1,1,1,NO
1017,5,5,5,NO
1018,2,2,2,No
1019,3,3,3,NO
1020,,5,5,NO
1021,,3,3,NO
1022,,4,4,No
1023,,5,5,NO
1024,,2,2,NO
1025,,5,5,NO
1026,,1,1,NO
1027,,3,3,No
1028,,5,5,NO
1029,,3,3,NO
1030,,5,5,NO
1031,,2,2,NO
1032,,4,4,No
1033,,3,3,NO
1034,,1,1,NO
1035,,5,5,NO
1036,,2,2,NO
1037,,4,4,NO
1038,,5,5,NO
1039,,2,2,No
1040,,5,5,NO
1041,,3,3,NO
1042,,1,1,NO
1043,5,5,5,NO
1044,3,3,3,NO
1045,4,2,2,NO
1046,5,2,2,NO
1047,2,4,4,NO
1048,5,4,4,No
1049,1,3,3,NO
1050,3,5,5,No
1051,5,3,3,NO
1052,3,1,1,NO
1053,5,5,5,No
1054,2,5,5,NO
1055,4,2,2,NO
1056,3,1,1,NO
1057,1,5,5,NO
1058,5,2,2,No
1059,2,3,3,NO
1060,4,,,NO
1061,5,5,5,NO
1062,2,3,3,No
1063,5,4,4,NO
1064,3,5,5,NO
1065,1,2,2,NO
1066,5,5,5,NO
1067,3,1,1,No
1068,2,3,3,NO
1069,2,5,5,NO
1070,4,3,3,NO
1071,4,5,5,NO
1072,3,2,2,No
1073,5,4,4,NO
1074,3,3,3,NO
1075,1,1,1,NO
1076,5,5,5,NO
1077,5,2,2,NO
1078,2,4,4,NO
1079,1,5,5,No
1080,5,2,2,NO
1081,2,5,5,NO
1082,3,3,3,NO
1083,5,1,1,NO
1084,3,5,5,NO
1085,4,3,3,NO
1086,5,2,2,NO
1087,2,2,2,NO
1088,5,4,4,No
1089,1,4,4,NO
1090,3,3,3,No
1091,5,5,5,NO
1092,3,3,3,NO
1093,5,1,1,No
1094,2,5,5,NO
1095,4,5,5,NO
1096,3,2,2,NO
1097,1,1,1,NO
1098,5,5,5,No
1099,2,2,2,NO
1100,4,3,3,NO
1101,5,5,5,NO
1102,2,3,3,No
1103,5,4,4,NO
1104,3,5,5,NO
1105,1,2,2,NO
1106,5,5,5,NO
1107,3,1,1,No
1108,2,3,3,NO
1109,2,5,5,NO
1110,4,3,3,NO
1111,4,5,5,NO
1112,3,2,2,No
1113,5,4,4,NO
1114,3,3,3,NO
1115,1,1,1,NO
1116,5,5,5,NO
1117,5,2,2,NO
1118,2,4,4,NO
1119,1,5,5,No
1120,5,2,2,NO
1121,2,5,5,NO
1122,3,3,3,NO
1123,5,1,1,NO
1124,3,5,5,NO
1125,4,3,3,NO
1126,5,2,2,NO
1127,2,2,2,NO
1128,5,4,4,No
1129,1,4,4,NO
1130,3,3,3,No
1131,5,5,5,NO
1132,3,3,3,NO
1133,5,1,1,No
1134,2,5,5,NO
1135,4,5,5,NO
1136,3,2,2,NO
1137,1,1,1,NO
1138,5,5,5,No
1139,2,2,2,NO
1140,4,3,3,NO
1141,5,5,5,NO
1142,2,3,3,No
1143,5,4,4,NO
1144,3,5,5,NO
1145,1,2,2,NO
1146,5,5,5,NO
1147,3,1,1,No
1148,2,3,3,NO
1149,2,5,5,NO
1150,4,3,3,NO
1151,4,5,5,NO
1152,3,2,2,No
1153,5,4,4,NO
1154,3,3,3,NO
1155,1,1,1,NO
1156,5,5,5,NO
1157,5,2,2,NO
1158,2,4,4,NO
1159,1,5,5,No
1160,5,2,2,NO
1161,2,5,5,NO
1162,3,3,3,NO
1163,5,1,1,NO
1164,3,5,5,NO
1165,4,3,3,NO
1166,5,2,2,NO
1167,2,2,2,NO
1168,5,4,4,No
1169,1,4,4,NO
1170,3,3,3,No
1171,5,5,5,NO
1172,3,3,3,NO
1173,5,1,1,No
1174,2,5,5,NO
1175,4,5,5,NO
1176,3,2,2,NO
1177,1,1,1,NO
1178,5,5,5,No
1179,2,2,2,NO
1180,4,3,3,NO
1181,5,5,5,NO
1182,2,3,3,No
1183,5,4,4,NO
1184,3,5,5,NO
1185,1,2,2,NO
1186,5,5,5,NO
1187,3,1,1,No
1188,2,3,3,NO
1189,2,5,5,NO
1190,4,3,3,NO
1191,4,5,5,NO
1192,3,2,2,No
1193,5,4,4,NO
1194,3,3,3,NO
1195,1,1,1,NO
1196,5,5,5,NO
1197,5,2,2,NO
1198,2,4,4,NO
1199,1,5,5,No
1200,5,2,2,NO
1201,2,5,5,
1202,3,3,3,
1203,,1,1,NO
1204,5,5,5,NO
1205,3,3,3,NO
1206,4,2,2,NO
1207,5,2,2,NO
1208,2,4,4,NO
1209,5,4,4,NO
1210,1,3,3,No
1211,3,5,5,NO
1212,5,3,3,No
1213,3,1,1,NO
1214,5,5,5,NO
1215,2,5,5,No
1216,4,2,2,NO
1217,3,1,1,NO
1218,1,5,5,NO
1219,5,2,2,NO
1220,2,3,3,No
1221,4,,,NO
1222,5,,,NO
1223,2,,,NO
1224,5,,,No
1225,3,,,NO
1226,1,,,NO
1227,5,,,NO
1228,3,,,NO
1229,2,,,No
1230,2,,,NO
1231,4,,,NO
1232,4,,,NO
1233,3,,5,NO
1234,5,,3,No
1235,3,5,4,NO
1236,1,3,5,NO
1237,5,4,2,NO
1238,5,5,5,NO
1239,2,2,1,NO
1240,1,5,3,NO
1241,5,1,5,No
1242,2,3,3,NO
1243,3,5,5,NO
1244,5,3,2,NO
1245,3,5,4,NO
1246,4,2,3,NO
1247,5,4,1,NO
1248,2,3,5,NO
1249,5,1,2,NO
1250,1,5,4,No
